Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,202.339996,207.479996,200.059998,202.080002,202.080002,39852400
2022-02-23,204.160004,206.940002,198.050003,198.449997,198.449997,44481400
2022-02-24,191.059998,208.350006,190.220001,207.600006,207.600006,49957200
2022-02-25,204.940002,211.320007,203.179993,210.479996,210.479996,37627600
2022-02-28,207.679993,213.149994,206.830002,211.029999,211.029999,34239800
2022-03-01,209.869995,211.750000,202.220001,203.490005,203.490005,27094900
2022-03-02,204.779999,209.149994,202.020004,208.110001,208.110001,29452100
2022-03-03,209.020004,209.080002,201.419998,202.970001,202.970001,27263500
2022-03-04,202.369995,205.889999,198.789993,200.059998,200.059998,32130900
2022-03-07,200.789993,200.889999,187.279999,187.470001,187.470001,38560600
2022-03-08,187.850006,196.699997,186.110001,190.289993,190.289993,37508100
2022-03-09,195.740005,199.100006,193.919998,198.500000,198.500000,31894700
2022-03-10,194.839996,196.279999,191.070007,195.210007,195.210007,24853000
2022-03-11,192.639999,193.559998,186.669998,187.610001,187.610001,34656900
2022-03-14,187.029999,192.289993,185.820007,186.630005,186.630005,31010500
2022-03-15,190.800003,192.279999,185.910004,192.029999,192.029999,31721700
2022-03-16,194.699997,203.729996,194.520004,203.630005,203.630005,40640300
2022-03-17,201.699997,208.039993,201.110001,207.839996,207.839996,29499700
2022-03-18,206.699997,216.800003,206.000000,216.490005,216.490005,52055000
2022-03-18,206.699997,216.800003,206.589996,216.490005,216.490005,52127982
