Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,37.750000,38.470001,36.369999,36.869999,36.869999,25433100
2022-02-23,37.189999,38.150002,36.160000,36.980000,36.980000,24429900
2022-02-24,34.950001,39.049999,34.950001,38.830002,38.830002,26703600
2022-02-25,38.840000,39.564999,38.099998,39.150002,39.150002,19173500
2022-02-28,39.490002,40.959999,38.840000,39.939999,39.939999,23393000
2022-03-01,39.810001,41.320000,37.459999,37.840000,37.840000,28341900
2022-03-02,38.119999,38.119999,35.750000,37.369999,37.369999,30985500
2022-03-03,37.299999,37.419998,35.009998,35.660000,35.660000,23087700
2022-03-04,36.389999,36.720001,32.889999,33.090000,33.090000,22212700
2022-03-07,33.150002,33.340000,30.190001,30.219999,30.219999,32356700
2022-03-08,30.010000,32.720001,29.580000,31.219999,31.219999,28109600
2022-03-09,32.000000,34.230000,31.780001,33.680000,33.680000,26986400
2022-03-10,32.750000,32.759998,31.059999,31.740000,31.740000,21145700
2022-03-11,32.380001,32.410000,29.745001,30.049999,30.049999,23167200
2022-03-14,29.530001,30.139999,27.670000,28.000000,28.000000,32917800
2022-03-15,28.850000,30.158001,28.576000,29.580000,29.580000,38242700
2022-03-16,30.860001,32.619999,30.230000,32.560001,32.560001,34041900
2022-03-17,31.170000,34.320000,30.920000,33.970001,33.970001,25439800
2022-03-18,33.209999,36.029999,33.020000,36.000000,36.000000,28385500
2022-03-18,33.209999,36.029999,33.020000,36.000000,36.000000,27404380
