Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,150.199997,156.649994,148.100006,149.380005,149.380005,1849300
2022-02-23,151.029999,152.270004,144.089996,144.169998,144.169998,1450100
2022-02-24,136.889999,149.809998,135.554993,149.210007,149.210007,2352200
2022-02-25,150.470001,152.880005,145.899994,151.910004,151.910004,1674500
2022-02-28,151.639999,157.970001,149.929993,156.190002,156.190002,1883400
2022-03-01,159.339996,159.490005,150.240005,151.250000,151.250000,1404500
2022-03-02,152.889999,153.100006,145.860001,149.479996,149.479996,1462000
2022-03-03,150.809998,151.830002,138.619995,139.919998,139.919998,2393500
2022-03-04,140.899994,142.300003,134.089996,135.169998,135.169998,2383600
2022-03-07,135.279999,138.720001,130.050003,130.509995,130.509995,2320100
2022-03-08,129.990005,137.259995,125.839996,131.679993,131.679993,1858600
2022-03-09,135.339996,139.809998,134.929993,136.419998,136.419998,1521800
2022-03-10,134.229996,135.369995,129.759995,132.669998,132.669998,1978600
2022-03-11,134.339996,135.380005,124.150002,124.290001,124.290001,2026300
2022-03-14,122.779999,125.911003,118.199997,119.470001,119.470001,2185000
2022-03-15,121.349998,125.930000,120.809998,123.839996,123.839996,1496900
2022-03-16,126.000000,134.587997,125.820000,133.580002,133.580002,2297900
2022-03-17,132.839996,139.860001,131.470001,138.729996,138.729996,1977500
2022-03-18,138.710007,147.500000,138.149994,144.779999,144.779999,2574800
2022-03-18,138.710007,147.500000,138.149994,144.779999,144.779999,2502361
